,Names,Cause,State,Description,Phone,Address,Email,URL
191,VISHWAS - Vision For Health Welfare and Special Needs,education,Gurugram,"VISHWAS is a Nonprofit organisation working in the field of Disability and Inclusive Development. Their Mission is to promote the rights and interests of the disadvantaged, particularly those with disabilities, in partnership with all stakeholders - children, their families, community and the government, by building knowledge and capacities on inclusive practices and policies; and creating opportunities for meaningful participation. In 2005, Neelam Jolly, the founder of VISHWAS started working in Sanp ki Nagli, a small village in Sohna block of Gurugram district of Haryana with a vision of an inclusive society where persons with disabilities are ensured equal rights and opportunities in a dignified manner. Today after so many years of persistent work and resilience, VISHWAS is a proud team of 44+ people working for the four programmes that complement each other. 1. VISHWAS Vidyalaya provides an equitable and inclusive school system for children with or without disabilities. 2. VISHWAS Research and Training programme is for enhancing operational learning by bridging the gap between intent and practice for the inclusion of PWDs. 3. VISHWAS Skill Development and Training programme supports young adults and adults with disabilities with skill development and life skills opportunities. 4. VISHWAS Community Based programme facilitates community participation to provide a barrier free and inclusive environment for Persons with Disabilities.So far VISHWAS has reached out to 2824 beneficiaries, out of which 662 persons with disabilities have been impacted. VISHWAS has collaborated with the Department of education, Haryana in developing different tools to promote inclusion of PWDs in mainstream society. They have distributed “Inclusion Kit - Bridging barriers” in 119 blocks of 22 districts of Haryana for meaningful participation and quality learning of children with special needs in regular classrooms. They have launched “Disability Resource Helpline- Guiding Voice” in all the 22 districts of Haryana to cater to the information, educational and communication needs of parents and caregivers of Children With Special Needs (CWSNs) on inclusive education and other welfare schemes. They have developed “Disability Resource Manual” that can be used as training material for ASHA and Anganwadi workers, regular teachers and parents for spreading awareness and for the right information related to all 21 disabilities and associated challenges.Support the education of underprivileged children in an inclusive school ",+91 124 2580323,"Near Unitech Cyber Park,  Gurgaon 122002 Haryana",communication@vishwasindia.org,https://www.giveindia.org/nonprofit/vishwas-vision-for-health-welfare-and-special-needs
192,The Leprosy Mission Trust India,education,Delhi,"The Leprosy Mission was born in 1874 when friends of an Irish school teacher, Wellesley Bailey, and his wife Alice, promised to raise 30 pounds a year to help persons affected by leprosy in India.  Since then, the legacy of their commitment and selfless work has inspired Leprosy Mission Trust India (TLM) to serve lakhs of people who are suffering from leprosy and its social, economic and psychological impact. TLM works through 14 Hospitals, 6 Vocational Training Centers, 5 Snehalayas (Homes for the care of the elderly leprosy-affected people), and various Community-Based Development Projects. Their constant endeavor has been to provide healing, inclusion, dignity and an opportunity for sustainable livelihoods to individuals affected by leprosy.educationNew DelhiEducate children from leprosy afflicted families",+91 01143533300,"Church of North India Bhavan,  16 Pandit Pant Marg, New Delhi 110001, Delhi",abraham.george@leprosymission.in,https://www.giveindia.org/nonprofit/the-leprosy-mission-trust-india
193,"National Association for the Blind, India",differently abled,Maharashtra,"1947 is recognized by Indians as a water-shed year for the nation. It was in this year that the country gained independence and could finally decide its own destiny, standing on its own two feet. As if in a parallel development, there was a similar thought process in the mind of Mr. Mangulal J Shah, who wanted to raise the education and skills of India's visually challenged persons ( VCP's) so high that they would no longer be dependent on others for their self sufficiency. Thus the history of the National Association for the Blind, India too begins in 1947 itself. This seed was then watered for the first time in Bombay by Mr. B. G. Kher, the then Premier of Bombay Province, who moved a resolution at the First All India Conference for the Blind, and helped establish NAB, India.The National Association for the Blind works with visually impaired people of all age groups, and runs a number of programs that range from providing Integrated education and Vocational Training to visually impaired children and adults, to designing certifiable courses and recording audio books. NAB aims to re-integrate visually impaired people into regular life, and has gone on to touch the lives of thousands of people.Sponsor meals for a blind person undergoing rehabilitation",+91 22 22045482,"Khan Abdul Gaffar Khan Road,Worli Seaface,Worli, Mumbai 400030 Maharashtra",frc@nabindia.info,https://www.giveindia.org/nonprofit/national-association-for-the-blind-india
194,The Association of People with Disability,differently abled,Karnataka,"APD was founded as an NGO in Karnataka in 1959, working for equality, dignity and justice for People with Disability (PWD). Founded by a visionary, a polio afflicted lady, late Ms. N. S. Hema’s aim was to empower persons with disability to become active, contributing members of society. In the Early Intervention Program, APD’s pioneering work  for Children with Special Needs (CWSN) in the age group 0 to 8 yrs has been accredited as the best replicable model. APD’s Inclusive Education’s model for CWSN’s was assessed by the Education Department of the Government of Karnataka, based on the “Inclusive Education Assessment Format” for Children With Special Needs and recommended for  use in all government schools in the state. Community Mental Health Program (CMHP) initiated as far back as 2004, based on the CBR model, covered 19041 persons with mental illness (PWMIs). Spinal Cord Injury Program (SCIR) is the only program with an Institutional and Community based delivery model along with a transdisciplinary social model that reached 3300 beneficiaries. APD’s work on for Youth with Disability (YwD) is commendable.APD has collaborated with Central Government to run Rehabilitation Council of India and Tata Institute of Social Sciences certified courses to address the acute shortage of skilled, certified manpower for the disability sector through its Institute of Disability for Rehabilitation and Research (IDRR). In 2018-19, APD served 65,000 beneficiaries in the disability ecosystem in 14 districts of Karnataka.differently abledProvide new hope to a poor person with special ability",+91 8762466894,"6th Cross, Hutchins Road,Off Hennur Main Road,Lingarajpuram, St Thomas Town Post,Bangalore 560084 Karnataka",sunilkumarkp@apd-india.org,https://www.giveindia.org/nonprofit/the-association-of-people-with-disability
195,Goonj,environment,Delhi,"Goonj is an award-winning social enterprise working to build a bridge between the cities and villages. They focus on empowering the communities in far-flung villages to solve their own problems. For the last 19 years they have established a culture of mindful giving in urban India. They collect vast stocks of everyday necessities; from clothes to medicines, that would otherwise have been thrown away.Every year Goonj processes thousands of tons of urban surplus material to run 3000+ development activities across rural India. With the clothes as motivation, people build bridges, dig wells, repair roads and other community building activities. These people don't get material as charity but earn it as a reward for their work.The work that Goonj does brings attention to essential but often ignored needs of people. Millions of kilograms of donated cloth is turned into sanitary pads, Sujnis, and Aasans, giving livelihood to thousands of people.Goonj is a mass movement connecting people in the cities and villages of India as equal stakeholders.Help neglected communities solve their problemsHelp poor women get access to sanitary pads",+91 01141401216,"J-93, Sarita Vihar, New Delhi- 110076",dharamshi.khyati@goonj.org,https://www.giveindia.org/nonprofit/goonj
196,Mahila Dakshata Samiti,education,Karnataka,"Mahila Dakshata Samiti was set up in Delhi by a few members of women support group in response to the SOS calls from the woman sorority against the dowry scourge. Spreading its branches all over India, their purpose blazed with a mission of eradicating atrocities that were inflicted time and again on women and securing equal access to women in all areas of society.  Their core principles of Health, Education, Empowerment, and Equality have shaped various programs and services through Women Empowerment, Dakshata Family Counseling Centre, Education and Child Welfare and Dakshata Short Stay Home.  The 45 working members of the organization have worked relentlessly to provide free consultation and medicines to 1028 patients, shelter to 36 women at Short Stay Homes, counseling to 72 families and scholarships to 75 girls for college.  The Synergia Foundation in association with the Government of Karnataka has lauded their efforts by awarding them for Exemplary Contribution in the field of Social Service. Their struggle to combat dowry deaths, female foeticide, domestic violence, sexual abuse, rape, etc. has made a mark in history.Gift a scholarship for the higher education of a girl ",+91 08023641814,"No. C-4, 1st Main,  BEL Layout, 1st Block,  Vidyaranyapura Bangalore 560097",gennext.gels@gmail.com,https://www.giveindia.org/nonprofit/mahila-dakshata-samiti
197,ACCESS,education,Karnataka,"ACCESS(Association for Community Care, Education, and Social Services) was founded to help children who are being exploited in the stone quarries of Bangalore as child labourers. At such a tender age, when they were supposed to be playing and learning, they were being oppressed; ACCESS took an initiative to rescue these innocent souls, providing them with education and health facilities. It also takes care of the Social, Emotional, Physical, and Cognitive development of each child through a wide range of care options & prepares them to be productive adults. Various projects have been undertaken by ACCESS which includes Child Development Centers, Foster Care, Community Service, Play School and Women's Program. It takes care of women in a plethora of ways, from aiding and restoration of the women-in-crisis to providing them livelihood opportunities in its tailoring center. ACCESS has provided daily nutritional supplements along with screening and preventive care to 700 children in the past one year. 836 children are still continuing with their schools and colleges. ACCESS continues to reshape the lives of these children and women, making them confident and future-ready.Help a poor girl child get residential care",+91 80 25442350,"No.10, Andhra Muniyappa Layout,  Chellikere, Kalyan Nagar,  Bangalore 560043 Karnataka",umasabastin@gmail.com,https://www.giveindia.org/nonprofit/access
198,"ALERT-INDIA Association for Leprosy education, Rehabilitation & Treatment India",health,Maharashtra,"ALERT INDIA (Association for Leprosy education, Rehabilitation and Treatment-India) started working over 3 decades ago with a vision to eradicate leprosy from India.The organisation works on the identification, prevention, and treatment of Leprosy in communities around Mumbai suburbs and rural areas. They do this through screening camps in schools as well as communities. Once the disease is identified, patients are guided to Leprosy Referral Centres for further follow up.ALERT conducts special drives to detect new cases. Patients are given treatment, counselling and physiotherapy services free of cost in special clinics where besides medication, services like skin smear facility for establishing diagnosis are also provided.In addition, various types of deformities are corrected and protected with aids and appliances. For patients with early deformities, services like muscle stimulation, pre-fabricated splints, and special MCR (micro cellular rubber) footwear are produced and supplied at concessional rates.They also help patients live with dignity among their own family and community. A special sponsorship programme assists the education of the children affected by leprosy and children of leprosy patients.Last year they served 3000+ leprosy patients through their various interventions.Provide special footwear for underprivileged people affected by leprosy",+91 22 25224629,"B-9, Mira Mansion, Sion West, Mumbai 400022 Maharashtra",alertantony@gmail.com,https://www.giveindia.org/nonprofit/alert-india-association-for-leprosy-education-rehabilitation-treatment-india
199,Seva Mandir,education,Rajasthan,"Seva Mandir is one of India's leading development nonprofit organizations. It currently works with 360,000 people across 700 villages of southern Rajasthan, where over 90% of the population relies on subsistence agriculture and most people live on less than Rs. 20 ($0.35) a day. For over 45 years, Seva Mandir has worked in partnership with these people, not only to improve their material well-being but to build stronger and more ethical communities. Through its programs on governance, health, education, sustainable use of natural resources, women's empowerment, youth development, child care and social enterprise, Seva Mandir makes a tangible and transformative impact. Every year, 12,000 disadvantaged children receive a quality education in its schools; 8,000 women and children out of reach of hospitals are offered critical health services; thousands of more families achieve food security and sustainable livelihoods through the rehabilitation of hundreds of acres of land; and 9,000 women move closer to gender equality and financial independence through women's groups and lending cooperatives.  Their mission is to make real the idea of a society consisting of free and equal citizens who are able to come together to solve the problems that affect them in their particular contexts.Help rural tribal children access education",+91 94147 57921,"Old Fatehpura, Udaipur 313004 Rajasthan",atul.lekhra@sevamandir.org,https://www.giveindia.org/nonprofit/seva-mandir
200,Basic Research Education And Development (BREAD) Society,education,Telangana,"Basic Research Education And Development (BREAD) Society was founded in 1989 to support bright students from rural areas to pursue higher education. The idea was to award scholarships of financial assistance to ensure that financially challenged bright students did not give up their education for want of finances.Students attending Government schools have neither the purchasing power to buy books nor access to books. To address this problem, BREAD has set up 1024 Children's Libraries in government schools during the last 9 years in Andhra Pradesh and Telangana to inculcate a habit of reading books among them. To sustain the interest of students, 80 to 100 new books were being added to existing BREAD children's libraries once in 3 years till 2017-18. From 2018-19, 40 new books are added to all existing libraries annually.In FY 16-17, 124 libraries were set up, 80 new books were added to 221 existing libraries and scholarships were given to 80 students.Basic Research Education And Development (BREAD) Society is one of the few organizations that is wholly volunteer-based and has no paid staff.Sponsor library books for government schools in Andhra PradeshRoad ",+91 08029741656,"# 66, Jubilee Hills, Hyderabad 500033 Telangana",breadsociety@gmail.com,https://www.giveindia.org/nonprofit/basic-research-education-and-development-bread-society
201,Swasthya Swaraj,women,Odisha,"Swasthya Swaraj is a secular, not-for-profit, organization working towards making health a reality for the poorest and unreached. Swasthya Swaraj has set up a model community health programme - Swasthya Swaraj Comprehensive Community Health Programme in the tribal-dominated Thuamul Rampur Block of Kalahandi district in Odisha, India. Thuamul Rampur block is the most backward and underdeveloped part of Odisha with the closest emergency obstetric care facility is 150 km away. Adult literacy is 26%, and adult female literacy is 5% in the dominant tribal villages. The children are miserably poor and undernourished. They are too familiar with deprivation, dejection, sicknesses, and deaths. Gross illiteracy and a superstition bound culture prevent them from seeking health care even when it is made available to them. The number of deaths from preventable causes occurring in this small population is high, but they are unreported silent deaths. Swasthya Swaraj's focus areas are Health and Education. Their Comprehensive Community Health Programme is active in 76 villages and adopts a unique community empowering model to expand their reach. Swasthya Swaraj dreams of a people's movement for SWARAJ in health - a just and equitable society, free from the shackles of ill health, illiteracy, and poverty.womenOdishaHelp women in remote villages of Odisha get access to maternal health care$ 16.14",+91 99127 18519,"Swasthya Swaraj Society office At- Nuapada, Near Manikeshwari Govt Girls' school, Manikeshwari Chhak Post- Bhawanipatna Pin code- 766001, District Kalahandi, Odisha, India4",ssangeetash89@gmail.com,https://www.giveindia.org/nonprofit/swasthya-swaraj
202,Akanksha Public Charitable Trust,education,Chhattisgarh,"Akanksha was born when a group of friends started volunteering on weekends at public hospitals and homes for destitute children and women in Chennai in 1998. Akanksha Public Charitable Trust was created on July 15, 2000 in Chennai, Tamilnadu and was registered soon after when some of its volunteers decided to devote more time and energy to Akanksha to make it their primary work.Akanksha works to learn along with and support individuals caught up in life's unfortunate circumstances. The Chairman of Akanksha Public Charitable Trust, Khodadad Moradian has more than three decades of experience in business and financial consulting. Dr Oswin Thayal, a senior pulmonologist and medical diagnostics entrepreneur is a trustee and was the Chairman of the Trust for a decade since its inception. Prayaag Joshi, currently a teacher and an erstwhile tax advisor is the executive arm of the board of trustees. He works full time on the activities of the trust. The three trustees work together in a spirit of camaraderie and determine the work of the trust increasingly in consultation with its many beneficiaries who are still very young people.The trust works with individuals through collaborative initiatives in areas of education, health, livelihoods, culture and ecology especially engaging with the old, the young and women.Educate a child to break the vicious circle of poverty",+91 44 24403447,"49 Kalakshetra Road, Thiruvanmiyur, Chennai 600041",prayaag_joshi@yahoo.com,https://www.giveindia.org/nonprofit/akanksha-public-charitable-trust
203,Atma Nirbhar-Ek Challenge,differently abled,Assam,"There are virtually no employment opportunities for the differently abled in Guwahati. Thus, economic rehabilitation of the differently abled was an issue which needed to be addressed. Mr. Kaushik Das left his job to start Atma Nirbhar-Ek Challenge to address this issue.Mr. Bhaskar Barua, the President of Managing Committee of Atma Nirbhar - Ek Challenge is a retired officer of the Indian Administrative Services and was formerly the Chief Secretary of Assam. In his long and illustrious career he has held many prestigious positions including a stint in the United Nations for two and a half years.Atma Nirbhar - Ek Challenge was founded with the objective of providing economic rehabilitation to physically and mentally challenged adults, and aims to offer opportunities to physically and mentally challenged individuals to work with dignity and earn a living. For this, they run a facility to blend and package their own brand of NavJeevan tea and spices. They provide employment to 39 beneficiaries (16 of who have speech and hearing impairment, while the other 23 are either mentally or physically challenged.).The vision of the organisation is to build a world where the differently abled get an equal opportunity to participate and work with dignity.",+91 03612471668,"Mamata,120 Gopinath Nagar,Guwahati 781016 Assam",atmanirhar@gmail.com,https://www.giveindia.org/nonprofit/atma-nirbhar-ek-challenge
204,Vidyarambam,education,Tamil Nadu,"Vidyarambam is dedicated to providing enjoyable quality education to all under-privileged pre-primary and primary children to encourage them to successfully continue their education. It started out of a passion for disadvantaged rural children who were not getting a quality education.  Mr. V. Ranganathan, Founder, and President is basically an Automobile Engineer worked in India and the Middle East in Managerial capacity. He is retired and he devotes his time entirely to the Trust. He asks-Can we do not provide enjoyable education to attract children? Can we remove the social injustice of denying them a quality education at the vulnerable age? Close to 8600 Primary and Middle School children have been served in the lifetime of the foundation. Support classes are conducted for over 1200 junior and senior school children  In 2012, Midtown's was awarded the Best digital Literacy Center by the Vidyarambam Trust Digital Literacy. The foundation until today has changed 25000 lives directly and indirectlyHelp the cognitive development of a rural childEducate an orphan child from the fishing community",+91 44 24465590,"Park View Apartments,  2nd Floor, Old No 85, New No 94,  G N Chetty Road, T Nagar,  Chennai 600017 Tamilnadu",vidyarambam@gmail.com,https://www.giveindia.org/nonprofit/vidyarambam
205,Abhinav,environment,Uttar Pradesh,"Based at Muzaffarnagar, Abhinav works for the creation of awareness about safe drinking water and sanitation. They teach water testing methods, and the importance of health and hygiene. They also work on skill development to empower women and on the development of the education system, supporting elderly people, improving technology and agricultural activities.Abhinav also conducts training programs, exposure visits, educational tours, farmer's tour, fairs, etc., to support the rural masses to achieve their goals in terms of knowledge and skill development. They are also known for their illustrative work for conducting surveys, research work, case studies, and analysis. Mr. Harendra Singh, the head of Abhinav, belongs to a farmer family. Gaining knowledge from his father and other people and motivation from his family, he started an organization to bring social change. His vision is that a society can be developed on a sustainable basis only if the change is aimed at the welfare of the people. He also says that no issue is big or small; it is the magnitude and impact that makes the issue big.",+91 131 2660084,"Jansath Road, Muzaffarnagar 251001Uttar Pradesh",admin@abhinavindia.org,https://www.giveindia.org/nonprofit/abhinav
206,Drishti,differently abled,Uttar Pradesh,"The number of visually impaired people in Chitrakoot district is very high. And a majority of these people do not receive any help or assistance in terms of education or livelihood. Drishti was therefore started for supporting visually impaired people for education and advocacy.Shankar Lal Gupta is the head and founder of the organisation. He himself is a visually impaired person, and has very good experience in the social sector. He has inspired many with his determination and perseverance in starting and running an organisation. No. of blind girls being provided with higher education: 25No. of blind students being provided with Computer Traininig: 58No. of blind students provided with Home Management : 6No. of blind girls being provided with Primary education: 79No. of blind students being provided with vocational training: 58The mission of the organisation is to make visually impaired girls self-reliant by providing awareness, education, training and skill development.Sponsor the expenses of an underprivileged visually impaired girl",+91 5198 236234,"Sewa Samiti Bhavan, Shankar Bazar, Chakrehi, Chauraha, Karwi Chitrakoot 210205 Uttar Pradesh",drishtiblindschool@gmail.com,https://www.giveindia.org/nonprofit/drishti
207,Karunashraya,health,Karnataka,"Karunashraya, meaning 'an abode of compassion' is a huge establishment, covered in lush greenery, bird song and peace, in the middle of a busy city that houses the hospice that caters to palliative care. The hospice has been offering in-patient care since 1999 and home care since 1995, tending to over 17,500 patients and touching the lives of their families by providing a supportive environment.Cancer is a leading cause of death in India with nearly 3 million suffering from it. WHO predicts that 700,000 people will succumb to the disease on an annual basis by 2015. Nearly 80% of cancer patients in India access medical help when there is no hope for cure! The need for palliative care has never been more critical, especially in Bangalore which is also apparently the 'Cancer Capital of India'.Karunashraya is the first hospice of its genre in India to offer patients the flexibility of alternating between the hospice and their home, Karunashraya helps patients live without pain, and in dignity and peace till their journey's end.Help poor terminally ill patients get access to medical care",+91 08042685666,"Old Airport, Varthur Main Road, Kundalahalli Gate, Marathahalli, Karntaka",georjo.p@karunashraya.org,https://www.giveindia.org/nonprofit/karunashraya
208,Manavlok,elderly,Maharashtra,"The foundation for Manavlok was laid by Dr. Lohiya in the year 1962 with an aim to solve the socio-economic problems of the community. Manavlok is the abbreviation for Marathwada Navnirman Lokayat, where Navnirman means Creation and Lokayat denotes people's opinion. Manavlok symbolizes a new idea or an experiment in rural development. It is actively involved in river rejuvenation, desilting of dams, providing seeds and fertilizers to the farmers. The organization believes that collective local leadership plays an essential role in mobilizing the local resources and making their best use. It trusts in providing the means for development. Their focus of action and control are the villagers themselves. The present secretary of Manavlok – Mr. Aniket comes with 25 years of experience in advance farming. His presence with the organization has proven to be very instrumental. He framed a holistic approach by bringing in agricultural technologies for water conservation to the poor farmers.Manavlok shows a better way of living to these farmers thereby rejuvenating their trust and improved knowledge on farming.Feed a grandparent through a community kitchen",+91 2446 247217,"Ring Road, Post Box No. 23 , Ambajogai, District Beed 431517 ",admin@manavlok.org,https://www.giveindia.org/nonprofit/manavlok
209,Quest Alliance,education,Karnataka,"The Quality education and Skills Training - QUEST Alliance focuses on research-led innovation and implementation of high-impact projects in the field of teaching and learning. They engage with Government schools, community colleges and vocational institutes, to help them adopt ICT-enabled educational solutions. Founded in 2005 as a program of the International Youth Foundation - IYF, and financially supported by the United States Agency for International Development -USAID, they help educators and educational institutions drive the use of technology in teaching and learning. There is a significant disconnect between India's basic education system and the needs and opportunities of its emerging economy, which highlights the need for greater emphasis in linking learning with livelihoods. To bridge this gap between education and skills, Quest Alliance designs scalable and replicable solutions across four major programs to enable self-learning for young people between the ages of 10 and 35 years.Provide arts and sports materials for students in BiharNo. 108, 2nd Main, 6th Cross, Koramangala 1st BlockBangalore 560034, Karnataka",+91 80 40983304,"No. 108, 2nd Main, 6th Cross, Koramangala 1st BlockBangalore 560034, Karnataka",nikita@questalliance.net,https://www.giveindia.org/nonprofit/quest-alliance
210,Rajasthan Mahila Kalyan Mandal Sanstha (RMKM),livelihoods,Rajasthan,"It all began on 18th July 1975 when a flash flood hit the holy city of Ajmer in Rajasthan. Mr. Sagarmal Kaushik, a railway employee stood up to mobilize relief materials for victims of the flood. He continued his efforts in different social work activities. In the year 1987 he streamlined his efforts and registered Rajasthan Mahila Kalyan Mandal Sanstha, Ajmer on 4th September.Rajasthan Mahila Kalyan Mandal Sanstha (RMKM) is a voluntary organization inspired by community development strategies of Mahatma Gandhi. RMKM strives to improve lives of rural people and differently abled.RMKM works with rural communities and the differently abled to rehabilitate them by enabling ownership over areas like environment, institutions and communication. The organization has grown in terms of population coverage, geographical areas, multidimensional and varied development intervention supported through dynamic development strategies with a focus on people living below poverty line, intellectually challenged, the women and the aged. RMKM seeks to partner with and empower these groups to face the incongruities of their demanding home-land with the modernizing world.education provided to Mentally challenged children - 750B.Ed, D.Ed, Volunteers - 90Goat based livelihood, SHGs, Micro-finance, Handicraft training - 2804FSW, IDUs, Migrants and Childline - 11153In 2017, RMKM was awarded the Social Achievers Award-2017 by the Mr. Rajendra Agarwal Member of Parliament, Meerut (U.P.) from G.I.P. Foundation at New Delhi. They also got the Best Exhibition Award by the Mr. Vasudev Devnani, education Minister Govt. of Rajasthan during Nav Samvatsar Function for their work in the field of disability.Sponsor vocational training for a disabled adultVillage- Chachiyawas, ",+91 01452794481,"Vishwamitra Ashram Village- Chachiyawas, Via- Gagwana, Ajmer 305023 Rajasthan",kaushikr266@gmail.com,https://www.giveindia.org/nonprofit/rajasthan-mahila-kalyan-mandal-sanstha-rmkm
211,Community Action for Rural Development (CARD),education,Tamil Nadu,"CARD promotes education, health, livelihood, environment and women development  projects. The organisation majorly works with school children, alcohol and drug addicts, poor women and small and  marginal farmers.The educational  support to school children was started  to help poor rural children meet their educational needs. There is a very good response among the poor parents and students. About 1000 students have benefitted from their initiatives so far. This program has even encouraged the girls to go for secondary and higher secondary education.educationPudukkottaiSponsor a poor girl child s school supplies and toiletriesPudukkottai District 622507",+91 4323 267491,Pudukkottai District 622507Tamilnadu,cardpdk@gmail.com,https://www.giveindia.org/nonprofit/community-action-for-rural-development-card
212,Sri Arunodayam,children,Tamil Nadu,"Sri Arunodayam is a Registered Charitable Trust that was founded to fill the gap of awareness and medical facilities for the marginalized sections of humanity. The organization has built its foundation on humanitarian values that uphold the dignity and right of this much-neglected section of the society and have set out with a vision to ensure that the mentally challenged children remain safe and enjoy equal opportunities. With a staff of over 50, the organization has worked relentlessly towards providing care and protection to the mentally challenged abandoned children and has promoted the rights of such children along with encouraging the society to integrate them. The organization has provided food, medical care, clothing, physiotherapy, special education and speech therapy to 106 children and restored 77 abandoned Mentally Challenged Children with their parents. Their honorable work was awarded the World of Children Award by the World of Children Foundation for their Humanitarian service and the Duruva Star Award by the Sudesi Magazine for their service to the Mentally Challenged. With an emphasis on ability rather than disability, their core values reflected in their work include Transparency, Credibility, Equality, Compassion, Dignity, and InclusionHelp a special needs child get access to nutritionHelp special needs children get access to care and support ",+91 44 26511803,"45, Sivananda Nagar, Kolathur, Chennai 600099 Tamilnadu",sriarunodayam@gmail.com,https://www.giveindia.org/nonprofit/sri-arunodayam
213,Child Aid Foundation,education,Andhra Pradesh,"The Founder of Child Aid Foundation (CAF), Dr. A. Goswami, came to India in the 1980s on a personal tour. He was born and brought up in New York City, and adopted an Indian name later on. During his extensive travel throughout the country, he repeatedly encountered many needy children. He was moved by their plight and started CAF in 1993.Child Aid Foundation is a legally registered, government recognized, non-profit, non-political, secular, public charitable trust. Child Aid provides comprehensive aid and care to underprivileged children, boys and girls, of all ages and academic levels on both a residential and non-residential basis. Aid and care they recieve includes food, clothing, shelter, personal supplies, medical care, education, education supplies, and initial job placement assistance.No. of girl children's education sponsored on a non-residential basis - 20No. of underprivileged children, boys and girls being provided free education and supplies - 250No. of children being provided free hostel including food, clothing, shelter, medical care, and personal supplies - 35The mission of the organisation is to provide comprehensive aid and care to poor and needy children so that they may pursue and complete their education and are capable of achieving their dreams.Sponsor special meals of residential children",+91 88011 10786,"C.A.F. Road, Patamatalanka,Vijayawada, Krishna District 520014",azeezshaik.mba@gmail.com,https://www.giveindia.org/nonprofit/child-aid-foundation
214,El Shaddai Charitable Trust,education,Goa,"Matthew Kurian was appalled at the state of the children living in a slum. Anita from the UK was shocked at the conditions of the children on the streets. Both had the same Dream. El Shaddai was born with a mission of bringing childhood to the children who never had it. Matthew Kurian is the Co-founder and Managing Trustee of the El Shaddai Charitable Trust. In 1993 he started working with alcoholics and drug addicts in Goa. A visit to a slum changed Matthew's perspective on life completely. Their desperation shocked him and he began teaching them the importance of hygiene, clean drinking water, and healthy food. He was moved when he saw them begging on the streets, collecting rubbish and even eating out of garbage bins to relieve their hunger. He started children's home in a small rented place in Vagator with 15 slum kids in 1997. Today the trust works with women, youth and children in slums in the fields of skill building, livelihood and rehabilitation. They also have destitute homes for children. In 2012, El Shaddai Charitable Trust was awarded the Spirit of Humanity Award by the AmeriCares India Foundation Child NutritionSponsor the after school coaching of a destitute childSupport the residential care of a destitute child",+91 83265 13287,"H.N. 251, Socol Vaddo,  Assagao, Bardez 403507 ",pr@childrescue.net,https://www.giveindia.org/nonprofit/el-shaddai-charitable-trust
215,Sukarya,health,Haryana,"Sukarya was born out of the vision of a single person, Meera Satpathy, who galvanized the organization and has continued to be the main force behind the organization's efforts. While running a successful business of her own, she witnessed the challenges faced by mothers and children living in the slums around the city, who lacked access to primary health care services. With the support of a few like-minded people, she founded Sukarya in 1998, with a mission to empower the underprivileged living in the slums and villages of Delhi, Haryana and Rajasthan and to provide them with quality primary health care services.As a visionary, Ms. Meera Satpathy had already foreseen the key fundamental issues of Human Development much before the declaration of UN Millennium Development Goals in 2000. Sukarya was born with an objective of reducing IMR (infant mortality rate), improving MCH (Maternal health), promoting gender equality and  women as per the Millennium goals set by the UN. Sukarya today is not merely a developmental organization focusing on health but also an organization that values empowerment through raising awareness and enabling people to demand better services for their well-being.Help access to health care for poor people from slums",+91 01244114251,"Next to Plot no. 253,  E-Block, Near Paras Hospital, Behind Sai Baba Temple Gurgaon 122001 Haryana",shipra@sukarya.org,https://www.giveindia.org/nonprofit/sukarya
216,Udayan Care,children,Delhi,"Appalled by the stark reality of 31 million orphans in India and shocked by the condition of institutions housing them, a few like-minded people came together to take serious action. This obsession was the seed which sprouted as Udayan Care - which was registered in 1994, as a Public Charitable Trust.Dr. Kiran Modi, started Udayan Care and the first Udayan Ghar (Home) for orphaned and abandoned children, in Delhi, with a strong belief that every individual is a catalyst of change. A doctorate from IIT, Delhi, Dr. Modi is a person of varied experience in several fields, including the media and has also been a founding member of several other trusts working for the disadvantaged.They started with the Udayan Ghar Programme for orphaned and abandoned children. In 2002, they moved towards higher education for girls through the Udayan Shalini Fellowships. In 2004, they started the Udayan Information and Technology Centres to improve employability of underserved communities.A thorough research on models existing for children in need of care & protection and opportunities for disadvantaged women and youth helped develop innovative models across all initiatives.Support poor students get access to IT and vocational training",+91 11 41403105,"A-43, Chittaranjan Park, New Delhi-110019",fundraising@udayancare.org,https://www.giveindia.org/nonprofit/udayan-care
217,Voluntary Health Association of Tripura,health,Tripura,"VHAT started as a state-level network of NGOs within the state of Tripura with the aim to build the capacity of the member organizations as well as the different sectors of the society. In 2015-2016 Mr.Benudhar Acharya was the President of VHAT. He is working as an Officer in State Bank of India. But since his student life, he has had a great interest in the welfare activities. He formed an organization named Bodhan Social Welfare Organization in his hometown Kowhai. The organization has been working for the promotion of health and environment status, primary education, empowerment of the downtrodden, gender equity and promotion of care and support for the children in need. VHAT initiated their Community-Based Rehabilitation (CBR) Programme for the Persons with Disabilities (PWDs) in a few blocks of west and south districts of Tripura in 2007. Anwesha Child Protection Centre (ACPC) was registered under the Juvenile Justice Act on August 1, 2011. They work to achieve the goal of making health a reality for the people of Tripura.Gift joy of sight to a senior citizenSupport the food of an orphan tribal girl child ",+91 381 2322849,"Opposite to Bangladesh Visa Office, Agartala 799006 Tripura",raysreelekha@gmail.com,https://www.giveindia.org/nonprofit/voluntary-health-association-of-tripura
